"Language","Category","Total Unique Domains","Top Domain","Top Domain Count","Media","Blog","Official","Social","Other"
"🇫🇷 FR","Visibility","1073","appvizer.fr","235","0","0","0","0","0"
"🇬🇧 EN","Visibility","1123","en.wikipedia","290","0","0","0","0","0"
"🇫🇷 FR","Sentiment","383","canvasbusinessmodel.com","33","0","0","0","0","0"
"🇬🇧 EN","Sentiment","390","g2.com","39","0","0","0","0","0"
