"Language","Category","Total Unique Domains","Top Domain","Top Domain Count"
"🇫🇷 FR","Visibility","1073","appvizer.fr","235"
"🇬🇧 EN","Visibility","1123","en.wikipedia","290"
"🇫🇷 FR","Sentiment","383","canvasbusinessmodel.com","33"
"🇬🇧 EN","Sentiment","390","g2.com","39"
